code,registers,us_campaign,us_filed,ca_recall,ca_filed,eu_case,eu_published,eu_notifying_country,eu_reference
SC0455,2,23V792,2023-11-22,2023630,2023-11-22,,,,
SC0457,2,23V899,2023-12-26,2023708,2023-12-27,,,,
SC0461,2,24V232,2024-03-27,2024194,2024-03-27,,,,
SC0469,2,24V567,2024-07-30,2024435,2024-07-31,,,,
SC0472,2,25V352,2025-05-28,2024632,2024-10-24,,,,
SC0474,2,25V030,2025-01-23,2025031,2025-01-24,,,,
SC0481,2,25V427,2025-06-23,2025346,2025-06-23,,,,
SC0485,2,25V756,2025-11-03,2025531,2025-10-06,,,,
SC0488,2,25V803,2025-11-20,2025640,2025-11-20,,,,
SC0489,2,25V801,2025-11-20,2025642,2025-11-20,,,,
SC0492,2,26V139,2026-03-11,2026108,2026-03-11,,,,
SC0493,2,26V207,2026-04-01,2026154,2026-04-01,,,,
SC0494,2,26V261,2026-04-23,2026204,2026-04-23,,,,
SC0495,2,26V351,2026-05-28,2026265,2026-05-29,,,,
SC0497,2,26V509,,2026379,2026-08-06,,,,
SC113,2,15V015,2015-01-16,1979081,1979-05-04,,,,
SC115,2,15V089,2015-02-13,1979094,1979-05-29,,,,
SC116,2,15V123,2015-03-02,1979097,1979-06-04,,,,
SC121,2,15V360,2015-06-09,1979121,1979-07-12,,,,
SC123,2,15V446,2015-07-14,1980002,1980-01-02,,,,
SC124,2,15V626,2015-10-06,1980005,1980-01-07,,,,
SC129,2,16V070,2016-02-05,1980169,1980-12-12,,,,
SC133,2,16V387,2016-06-01,1981074,1981-07-09,,,,
SC138,2,16V815,2016-11-10,1981079,1981-07-13,,,,
SC139,2,16V705,2016-10-03,1981088,1981-08-19,,,,
SC140,2,16V770,2016-10-24,1982007,1982-01-19,,,,
SC142,2,16V862,2016-11-30,1982009,1982-01-19,,,,
SC233,2,22V202,2022-03-29,1991153,1991-11-19,,,,
SC236,2,22V322,2022-05-11,1993035,1993-03-16,,,,
SC241,2,22V447,2022-06-23,1993125,1993-09-13,,,,
SC249,2,22V703,2022-09-19,1995126,1995-07-06,,,,
SC250,2,22V760,2022-10-11,1995134,1995-07-19,,,,
SC31,2,23V129,2023-02-27,2023118,2023-03-07,,,,
SLI1501,2,15V020,2015-01-20,2015019,2015-01-19,,,,
SLI1502,2,15V022,2015-01-21,2015020,2015-01-19,,,,
SLI1505,2,15V777,2015-11-20,2015558,2015-11-24,,,,
SN710,2,22V213,2022-03-31,2022178,2022-04-12,,,,
SN712,2,22V674,2022-09-08,2022532,2022-09-21,,,,
SN715,2,22V893,2022-12-02,2023036,2023-02-02,,,,
SN724,2,24V042,2024-01-25,2024047,2024-01-29,,,,
SN728,2,24V438,2024-06-13,2024383,2024-07-02,,,,
SN729,2,24V526,2024-07-11,2024406,2024-07-12,,,,
SN737,2,26V167,2026-03-19,2026355,2026-07-20,,,,
SR13009,2,13V446,2013-09-19,2013316,2013-09-20,,,,
SR14004,2,14V281,2014-05-27,2014192,2014-05-28,,,,
SR14005,2,14V365,2014-06-25,2014248,2014-06-25,,,,
SR14006,2,14V366,2014-06-25,2014247,2014-06-25,,,,
SR14007,2,14V522,2014-09-02,2014377,2014-09-05,,,,
SR14008,2,14V560,2014-09-12,2014396,2014-09-15,,,,
SR14009,2,14V562,2014-09-12,2014397,2014-09-15,,,,
SR14010,2,14V564,2014-09-12,2014398,2014-09-15,,,,
SR14011,2,14V744,2014-11-21,2014525,2014-11-20,,,,
SR1412,2,14V073,2014-02-24,2014056,2014-02-25,,,,
SR1426,2,14V206,2014-04-18,2014149,2014-04-22,,,,
SR15002,2,15V232,2015-04-20,2015165,2015-04-17,,,,
SR15003,2,15V233,2015-04-20,2015166,2015-04-17,,,,
SR15004,2,15V337,2015-06-02,2015219,2015-05-22,,,,
SR15005,2,15V338,2015-06-02,2015220,2015-05-22,,,,
SR15009,2,15V546,2015-08-31,2015386,2015-08-28,,,,
SR1501,2,14V771,2014-12-03,2014544,2014-12-03,,,,
SR15011,2,15V594,2015-09-23,2015419,2015-09-23,,,,
SR1503,2,15V119,2015-03-02,2015087,2015-02-26,,,,
SR1504,2,15V122,2015-03-02,2015088,2015-02-26,,,,
SR1527,2,15V349,2015-06-05,2015239,2015-05-29,,,,
SR1530,2,15V348,2015-06-05,2015240,2015-05-29,,,,
SR16001,2,15V815,2015-12-04,2015579,2015-12-04,,,,
SR16002,2,16V334,2016-05-23,2016254,2016-05-25,,,,
SR16003,2,16V458,2016-06-23,2016317,2016-06-21,,,,
SR16005,2,16V548,2016-07-22,2016371,2016-07-22,,,,
SR16006,2,16V563,2016-07-28,2016379,2016-07-27,,,,
SR16008,2,16V675,2016-09-19,2016456,2016-09-19,,,,
SR16009,2,16V791,2016-10-31,2016529,2016-10-27,,,,
SR16010,2,16V792,2016-10-31,2016530,2016-10-27,,,,
SR16011,2,16V867,2016-12-02,2016591,2016-11-24,,,,
SR1618,2,16V133,2016-03-04,2016108,2016-03-04,,,,
SR22002,2,22V335,2022-05-13,2022251,2022-05-13,,,,
SR22003,2,22V470,2022-07-08,2022351,2022-06-30,,,,
SR22004,2,22V563,2022-08-02,2022420,2022-08-02,,,,
SR2208,2,22V347,2022-05-18,2022273,2022-05-26,,,,
SR23001,2,23V345,2023-06-06,2023285,2023-05-12,,,,
SR23040,2,23V523,2023-07-27,2023417,2023-07-28,,,,
SR2305,2,23V126,2023-02-24,2023097,2023-02-24,,,,
SR23050,2,23V708,2023-10-19,2023578,2023-10-26,,,,
SR24010,2,24V011,2024-01-10,2024014,2024-01-17,,,,
SR24020,2,24V076,2024-02-07,2024069,2024-02-07,,,,
SR24030,2,24V497,2024-07-01,2024377,2024-07-01,,,,
SR24050,2,24V836,2024-11-05,2024673,2024-11-05,,,,
SR2411,2,24V178,2024-03-06,2024151,2024-03-06,,,,
SR25001,2,25V369,2025-06-02,2025301,2025-05-30,,,,
SR25002,2,25V507,2025-08-07,2025405,2025-08-06,,,,
SR25011,2,25E021,2025-03-25,2025152,2025-03-25,,,,
SR25030,2,25V669,2025-10-07,2025535,2025-10-07,,,,
SR25040,2,25V670,2025-10-07,2025536,2025-10-07,,,,
SR2522,2,25V461,2025-07-09,2025370,2025-07-09,,,,
SR2523,2,25V460,2025-07-09,2025368,2025-07-10,,,,
SR2585,2,25V469,2025-07-16,2025380,2025-07-16,,,,
SR26010,2,26V017,2026-01-16,2026012,2026-01-16,,,,
SR2603,2,26V095,2026-02-19,2026073,2026-02-19,,,,
SR26030,2,26V193,2026-03-26,2026143,2026-03-26,,,,
SR260400,2,26V192,2026-03-26,2026144,2026-03-26,,,,
SR26050,2,26V309,2026-05-13,2026230,2026-05-13,,,,
SRAN569,2,,,2020007,2020-01-15,A12/00149/20,07/02/2020,United Kingdom,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10000512
SRAN570,2,,,2020011,2020-01-16,A12/00150/20,07/02/2020,United Kingdom,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10000513
SRAN574,2,,,2020107,2020-03-19,A12/00586/20,17/04/2020,United Kingdom,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10001036
SRAN579,2,,,2020184,2020-04-28,A12/00781/20,29/05/2020,United Kingdom,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10001269
SRAN582,2,,,2020354,2020-08-04,A12/01163/20,21/08/2020,United Kingdom,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10001786
SRAN584,2,,,2020374,2020-08-14,A12/01180/20,28/08/2020,United Kingdom,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10001821
SRAN587,2,,,2020581,2020-11-30,A12/01795/20,18/12/2020,United Kingdom,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10002696
SRAN606,2,,,2023113,2023-03-06,A12/00588/23,24/03/2023,Poland,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10008237
SRAN609,2,,,2023461,2023-08-16,A12/02249/23,22/09/2023,Poland,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10010207
SRAN611,2,,,2023586,2023-10-31,A12/02868/23,24/11/2023,Poland,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10010968
SRAN617,2,,,2024092,2024-02-14,A12/00615/24,08/03/2024,Poland,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10012112
SRAN620,2,,,2024150,2024-03-06,A12/00878/24,12/04/2024,Poland,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10012384
SRAN628,2,,,2025063,2025-02-12,SR/00073/25,10/01/2025,Poland,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10092695
SRAN640,2,,,2025426,2025-08-19,SR/03181/25,12/09/2025,Poland,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10095822
SRAN641,2,,,2026058,2026-02-13,SR/00848/26,27/03/2026,Poland,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10098284
SRVRCL16001,2,16V370,2016-05-26,2016258,2016-05-26,,,,
SRVRCL16002,2,16V339,2016-05-23,2016247,2016-05-24,,,,
SRVRCL22002,2,22V704,2022-09-20,2022541,2022-09-23,,,,
SRVRCL23001,2,23E021,2023-03-16,2023159,2023-03-21,,,,
SRVRCL23002,2,23V250,2023-04-06,2023216,2023-04-12,,,,
SRVRCL23004,2,23V620,2023-09-06,2023506,2023-09-11,,,,
SRVRCL25002,2,25V570,2025-09-03,2025455,2025-09-04,,,,
SRVRCL25004,2,25V838,2025-12-05,2025686,2025-12-11,,,,
SRVRCL26001,2,26V050,2026-01-28,2026062,2026-02-12,,,,
SVRCL025017,3,26V048,2026-01-28,2025377,2025-07-15,SR/00422/26,13/02/2026,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10097700
SVRCL025018,3,25V587,2025-09-09,2025464,2025-09-09,SR/03733/25,24/10/2025,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096368
